Epoch,Loss,BAC
1,0.6812809,0.4951923076923077
2,0.7066311,0.4411057692307692
3,0.698895,0.4375
4,0.6908774,0.5
5,0.68719906,0.5
6,0.6837364,0.5192307692307693
7,0.68382555,0.45072115384615385
8,0.6830957,0.46033653846153844
9,0.6553291,0.6442307692307692
10,0.62543017,0.6875
11,0.645328,0.6286057692307692
12,0.63547605,0.6790865384615384
13,0.63402265,0.6911057692307692
14,0.6699562,0.6370192307692308
15,0.73152184,0.4963942307692308
16,0.66977245,0.5817307692307692
17,0.6694673,0.6021634615384616
18,0.66823363,0.6298076923076923
19,0.6478724,0.625
20,0.63391674,0.6322115384615384
21,0.5733149,0.7295673076923077
22,0.7009748,0.5709134615384616
23,0.6763801,0.6177884615384616
24,0.6535277,0.6478365384615384
25,0.62341005,0.6598557692307692
26,0.64456785,0.6610576923076923
27,0.6073906,0.6911057692307692
28,0.639722,0.6286057692307692
29,0.759692,0.46153846153846156
30,0.6120668,0.7211538461538461
31,0.6331906,0.6670673076923077
32,0.63111866,0.6286057692307692
33,0.5469645,0.7403846153846154
34,0.5717701,0.6935096153846154
35,0.7256429,0.546875
36,0.58777684,0.6706730769230769
37,0.62227505,0.6670673076923077
38,0.6854011,0.5901442307692308
39,0.6406306,0.6322115384615384
40,0.6456229,0.59375
41,0.6150192,0.6286057692307692
42,0.6250641,0.6790865384615384
43,0.5340489,0.7872596153846154
44,0.5553171,0.7716346153846154
45,0.63727593,0.6334134615384616
46,0.5973835,0.7283653846153846
47,0.64753586,0.6213942307692308
48,0.6009604,0.6826923076923077
49,0.628014,0.6598557692307692
50,0.59271276,0.6670673076923077
51,0.5641827,0.7175480769230769
52,0.54442585,0.7103365384615384
53,0.59472585,0.6442307692307692
54,0.6565239,0.6334134615384616
55,0.5788693,0.6526442307692308
56,0.5405723,0.7223557692307692
57,0.5846442,0.6911057692307692
58,0.62256086,0.6141826923076923
59,0.57641345,0.7403846153846154
60,0.5617432,0.7223557692307692
61,0.529902,0.7644230769230769
62,0.52178365,0.7451923076923077
63,0.6122104,0.6598557692307692
64,0.5341579,0.7451923076923077
65,0.56332433,0.7259615384615384
66,0.52273554,0.7644230769230769
67,0.506951,0.7836538461538461
68,0.55017996,0.6875
69,0.58131397,0.7259615384615384
70,0.4718298,0.7872596153846154
71,0.6097397,0.640625
72,0.59447455,0.6478365384615384
73,0.5273669,0.7680288461538461
74,0.5173345,0.7608173076923077
75,0.5417601,0.6983173076923077
76,0.4736786,0.8064903846153846
77,0.5263078,0.7259615384615384
78,0.44205683,0.8413461538461539
79,0.49614513,0.7403846153846154
80,0.55872965,0.6983173076923077
81,0.45294866,0.7800480769230769
82,0.47255048,0.7644230769230769
83,0.52584445,0.7487980769230769
84,0.45785657,0.7836538461538461
85,0.5365689,0.7247596153846154
86,0.52470666,0.6911057692307692
87,0.40861085,0.8257211538461539
88,0.49826086,0.7403846153846154
89,0.42417896,0.7956730769230769
90,0.43051183,0.8028846153846154
91,0.55415237,0.7560096153846154
92,0.52520525,0.6875
93,0.5178666,0.7331730769230769
94,0.48370114,0.7487980769230769
95,0.50921357,0.7680288461538461
96,0.38023496,0.8762019230769231
97,0.44603246,0.8028846153846154
98,0.4854804,0.8100961538461539
99,0.5289715,0.7487980769230769
100,0.42554656,0.7908653846153846
101,0.5031839,0.7487980769230769
102,0.40145215,0.8798076923076923
103,0.43866196,0.8185096153846154
104,0.4279478,0.8569711538461539
105,0.3910061,0.8641826923076923
106,0.50171596,0.7680288461538461
107,0.38459024,0.8605769230769231
108,0.39662394,0.8798076923076923
109,0.35812137,0.7992788461538461
110,0.32634437,0.8485576923076923
111,0.39964265,0.8221153846153846
112,0.47269568,0.8016826923076923
113,0.37714165,0.8257211538461539
114,0.33888984,0.8689903846153846
115,0.29646596,0.8725961538461539
116,0.2767777,0.8521634615384616
117,0.44246924,0.8413461538461539
118,0.35237375,0.8257211538461539
119,0.38824403,0.8257211538461539
120,0.34071,0.8377403846153846
121,0.31204364,0.8882211538461539
122,0.27482277,0.8834134615384616
123,0.35464084,0.8341346153846154
124,0.33149967,0.8954326923076923
125,0.25016186,0.8918269230769231
126,0.16071583,0.9230769230769231
127,0.3273165,0.8028846153846154
128,0.23348743,0.9302884615384616
129,0.29208916,0.8725961538461539
130,0.27428094,0.8918269230769231
131,0.26991263,0.8918269230769231
132,0.115682356,0.9651442307692308
133,0.3754997,0.8413461538461539
134,0.16941817,0.9302884615384616
135,0.21885887,0.8725961538461539
136,0.16197053,0.9110576923076923
137,0.13611692,0.9266826923076923
138,0.0680839,0.984375
139,0.19411486,0.9266826923076923
140,0.11239432,0.9338942307692308
141,0.46381748,0.8377403846153846
142,0.2897804,0.8954326923076923
143,0.19499555,0.9615384615384616
144,0.099311545,0.9615384615384616
145,0.15187171,0.9266826923076923
146,0.18646285,0.9146634615384616
147,0.13110052,0.9807692307692308
148,0.12435101,0.9651442307692308
149,0.21054652,0.9110576923076923
150,0.12160269,0.9615384615384616
